frame, steps, L_IAS, L_IPS, R_IAS, R_IPS, R_FLE, R_FME, R_FTC, R_FAL, R_FAX, R_TAM, R_TTC, R_FCC, R_FM1, R_FM2, R_FM5, L_FLE, L_FME, L_FTC, L_FAL, L_FAX, L_TAM, L_TTC, L_FCC, L_FM1, L_FM2, L_FM5, LV1, LV3, MAI, SXS, CV7, SJN, TV2, L_HEAD, R_HEAD, SGL, R_HLE, R_HUM, R_SAE, R_RSP, R_USP, R_HM2, L_HLE, L_HUM, L_SAE, L_RSP, L_USP, L_HM2
0, 200, 0.00622685, 0.0549233, 0.0186037, 0.0564194, 0.0471549, 0.0228405, 0.0403973, 0.0187786, 0.026679, 0.0211433, 0.0430367, 0.0364942, 0.0222776, 0.0330709, 0.0255423, 0.0429906, 0.0326723, 0.0294285, 0.0221993, 0.0363923, 0.0228688, 0.0506354, 0.0362318, 0.0197754, 0.0274622, 0.0214988, 0.0245615, 0.024576, 0.0448905, 0.0295459, 0.0401516, 0.0342554, 0.0375362, 0.0284428, 0.0443639, 0.0303191, 0.0836771, 0.063678, 0.0242087, 0.0282163, 0.018298, 0.0189581, 0.0747852, 0.0744736, 0.0417285, 0.02453, 0.0107915, 0.0122334
1, 200, 0.00624109, 0.0549196, 0.0186121, 0.056452, 0.0471724, 0.0228458, 0.0403852, 0.0187992, 0.0266835, 0.0211329, 0.0430674, 0.036482, 0.0222737, 0.0330804, 0.0255536, 0.0429821, 0.0326748, 0.0294388, 0.0221931, 0.0363998, 0.0228709, 0.0506223, 0.0362341, 0.019788, 0.0274627, 0.0215171, 0.024624, 0.0246068, 0.0449689, 0.0296055, 0.0401286, 0.0342929, 0.0374573, 0.028272, 0.0444062, 0.0304472, 0.0837025, 0.0637521, 0.0241835, 0.0283263, 0.0183045, 0.0189138, 0.0745846, 0.0745184, 0.0419202, 0.024457, 0.0109276, 0.0121619
2, 200, 0.00627047, 0.0549791, 0.0186612, 0.0564521, 0.0471737, 0.0228233, 0.0404231, 0.0187683, 0.0266792, 0.0211238, 0.0430385, 0.0364927, 0.0222726, 0.0330926, 0.0255301, 0.0429828, 0.0326724, 0.0294593, 0.0222005, 0.0364144, 0.0228727, 0.05061, 0.0362437, 0.0197769, 0.0274926, 0.0215169, 0.0246459, 0.0246207, 0.045079, 0.0296339, 0.0400988, 0.0343552, 0.0373876, 0.0282604, 0.0443643, 0.0303324, 0.0836782, 0.0637384, 0.0241974, 0.0283118, 0.0183127, 0.0189122, 0.0745905, 0.074503, 0.0419051, 0.0244406, 0.0108763, 0.0121529
3, 200, 0.00626136, 0.0549651, 0.0186588, 0.0564105, 0.047182, 0.0228354, 0.0404009, 0.0187924, 0.0266856, 0.021136, 0.043063, 0.0365113, 0.0222955, 0.0331006, 0.0255489, 0.0429924, 0.0326957, 0.0294423, 0.0222205, 0.0364094, 0.0228597, 0.0506142, 0.0362637, 0.0197703, 0.0274689, 0.0215081, 0.0247028, 0.0246789, 0.0452199, 0.0296578, 0.0401311, 0.0343807, 0.037304, 0.0282485, 0.0443423, 0.0302337, 0.0836809, 0.0637501, 0.0242175, 0.0282745, 0.0182461, 0.018894, 0.0745898, 0.0744996, 0.0418972, 0.0244027, 0.010842, 0.0121391
4, 200, 0.00627406, 0.0550038, 0.0186409, 0.0564302, 0.0472125, 0.0228366, 0.0403998, 0.018791, 0.0266941, 0.0211155, 0.0430239, 0.0364846, 0.0223361, 0.0331184, 0.0256243, 0.0429924, 0.0326875, 0.0294444, 0.0221789, 0.036418, 0.0228913, 0.0506172, 0.0362516, 0.0197917, 0.0274659, 0.0215609, 0.024736, 0.024744, 0.0453285, 0.0296767, 0.0401289, 0.0343826, 0.0372496, 0.0282766, 0.0443407, 0.0300711, 0.0836968, 0.0637244, 0.024232, 0.0283018, 0.0183034, 0.0188582, 0.0746103, 0.0745131, 0.0418893, 0.0244026, 0.0108441, 0.0121114
5, 200, 0.00628035, 0.0549021, 0.0186382, 0.0564353, 0.0471935, 0.0228366, 0.0404123, 0.0188066, 0.0267039, 0.02112, 0.0430353, 0.0365327, 0.0223106, 0.0331138, 0.0255661, 0.0429879, 0.0326902, 0.0294605, 0.0221863, 0.0364081, 0.0229012, 0.0506403, 0.0362477, 0.0197926, 0.0274593, 0.0215479, 0.0248077, 0.0247977, 0.0454639, 0.0297051, 0.0401197, 0.0344309, 0.0371996, 0.0281951, 0.044328, 0.0300207, 0.0836936, 0.0637251, 0.0243087, 0.0281969, 0.018227, 0.0188444, 0.0746551, 0.0744984, 0.0418742, 0.0243772, 0.010791, 0.0120739
6, 200, 0.00627619, 0.0549303, 0.0186056, 0.0564662, 0.0471934, 0.0228318, 0.0403753, 0.0188091, 0.0267078, 0.0211083, 0.0430776, 0.0365386, 0.0222994, 0.0331105, 0.025571, 0.0429806, 0.032693, 0.0294487, 0.0221822, 0.0363936, 0.0228957, 0.050606, 0.0362654, 0.0198054, 0.0274751, 0.0215527, 0.0248517, 0.0248275, 0.0455942, 0.0297137, 0.0401198, 0.0344346, 0.0371427, 0.0282174, 0.0442991, 0.029969, 0.0836883, 0.0637204, 0.0243526, 0.0281836, 0.0182438, 0.0188403, 0.0747011, 0.0745348, 0.0418998, 0.0243678, 0.0107199, 0.0120741
7, 200, 0.00626828, 0.0549241, 0.0186026, 0.0564138, 0.0471977, 0.0228172, 0.0403655, 0.0187952, 0.0267068, 0.0211162, 0.0430869, 0.0365422, 0.0223207, 0.0331239, 0.0255807, 0.0429837, 0.0326983, 0.029425, 0.0221888, 0.0364099, 0.022886, 0.0506267, 0.0362558, 0.0198231, 0.0274611, 0.0215402, 0.0249209, 0.0248331, 0.0457606, 0.0297226, 0.0401188, 0.034464, 0.0371445, 0.0280929, 0.0442527, 0.0298706, 0.0837173, 0.0637016, 0.0243753, 0.0281412, 0.0182198, 0.0188107, 0.0747334, 0.0745458, 0.0419282, 0.0243432, 0.0106472, 0.0120383
8, 200, 0.00629619, 0.0548719, 0.0185743, 0.0564542, 0.047202, 0.0228076, 0.0403186, 0.0188267, 0.0267197, 0.0210903, 0.0430577, 0.0365421, 0.0223219, 0.0331244, 0.0255793, 0.0429791, 0.0326927, 0.029457, 0.0221848, 0.0364066, 0.0228886, 0.0506047, 0.0362349, 0.0198035, 0.0274652, 0.0215391, 0.0249609, 0.0248673, 0.0458917, 0.0296752, 0.0401275, 0.0344982, 0.0371399, 0.0279467, 0.0441677, 0.0297915, 0.0836972, 0.0636709, 0.0244354, 0.0281089, 0.0182208, 0.0187513, 0.0747687, 0.074593, 0.0419422, 0.0242744, 0.0105789, 0.0119878
9, 200, 0.00625251, 0.0549734, 0.0185644, 0.056385, 0.0472059, 0.0228152, 0.0403219, 0.018802, 0.0267372, 0.0211093, 0.0430363, 0.0365546, 0.0223168, 0.033145, 0.0255852, 0.0429851, 0.0326818, 0.0294198, 0.022184, 0.0363881, 0.0228939, 0.0506195, 0.0362374, 0.0197969, 0.0274555, 0.0215483, 0.0249897, 0.0249059, 0.0460418, 0.0296731, 0.0401076, 0.0344861, 0.0370965, 0.0278721, 0.0441092, 0.0298359, 0.0837357, 0.0636562, 0.0244575, 0.0280925, 0.0181878, 0.0187509, 0.0748128, 0.0746471, 0.0419942, 0.0242275, 0.0105185, 0.0119274
